Date,Region,Product,Sales,Profit,Quantity
2024-01-15,North,Laptop,1200,300,2
2024-01-20,South,Mouse,25,10,5
2024-01-25,East,Keyboard,75,25,3
2024-02-10,West,Monitor,350,100,1
2024-02-15,North,Laptop,1800,450,3
2024-02-20,South,Keyboard,150,50,6
2024-03-05,East,Mouse,50,20,10
2024-03-10,West,Laptop,1200,300,2
2024-03-15,North,Monitor,700,200,2
2024-04-01,South,Mouse,30,12,6
2024-04-10,East,Laptop,2400,600,4
2024-04-15,West,Keyboard,100,33,4
2024-05-05,North,Monitor,350,100,1
2024-05-10,South,Laptop,1200,300,2
2024-05-20,East,Mouse,40,16,8
2024-06-01,West,Keyboard,125,42,5
2024-06-10,North,Laptop,1500,375,2.5
2024-06-15,South,Monitor,525,150,1.5
2024-07-05,East,Mouse,35,14,7
2024-07-20,West,Laptop,1800,450,3
